s1,s2,t1,t2
2032,1925,49.92,48.41
2068,1896,49.92,48.44
2109,1842,49.83,48.67
2155,1795,49.74,48.68
2204,1729,49.65,48.75
2257,1647,49.57,48.76
2304,1565,49.39,48.82
2330,1510,49.32,48.83
2350,1475,49.20,48.94
2354,1470,48.99,49.09
2363,1454,48.84,49.14
2369,1445,48.70,49.28
2371,1439,48.62,49.37
2371,1435,48.53,49.35
2369,1439,48.51,49.48
2369,1432,48.48,49.56
2371,1447,48.31,49.63
2374,1436,48.19,49.75
2377,1423,48.08,49.66
2376,1409,47.98,49.73
2380,1398,47.93,49.79
2384,1384,47.88,49.95
2389,1372,47.84,50.10
2392,1361,47.85,50.25
2393,1349,47.81,50.29
2394,1336,47.77,50.32
2397,1330,47.78,50.46
2396,1321,47.79,50.58
2394,1323,47.75,50.60
2393,1323,47.71,50.72
2392,1327,47.63,50.84
2390,1303,47.64,51.00
2389,1286,47.66,51.00
2388,1264,47.53,51.05
2386,1253,47.45,51.09
2389,1259,47.38,51.14
2388,1273,47.31,51.18
2393,1280,47.35,51.12
2398,1293,47.33,51.17
2396,1299,47.36,51.21
2396,1299,47.34,51.20
2396,1302,47.38,51.29
2397,1304,47.31,51.37
2398,1299,47.29,51.36
2399,1284,47.28,51.44
2402,1275,47.16,51.52
2406,1269,47.11,51.54
2408,1264,47.10,51.71
2407,1260,47.05,51.78
2405,1275,47.09,51.84
2406,1264,47.09,51.95
2407,1261,46.98,52.05
2409,1248,46.98,52.15
2408,1254,46.89,52.19
2403,1259,46.89,52.13
2396,1279,46.80,52.12
2378,1319,46.81,52.07
2349,1366,46.92,52.11
2322,1403,46.97,52.01
2299,1424,46.87,52.01
2291,1441,46.83,52.06
2294,1430,46.84,52.15
2305,1426,46.95,52.10
2311,1383,46.95,52.09
2315,1352,46.95,51.99
2309,1306,46.95,51.89
2321,1252,46.91,51.89
2334,1216,46.81,52.00
2338,1217,46.77,52.05
2318,1222,46.78,51.95
2292,1242,46.74,51.90
2275,1289,46.70,51.95
2263,1327,46.77,51.96
2251,1353,46.78,51.91
2246,1381,46.79,51.91
2244,1407,46.80,51.87
2243,1410,46.76,51.77
2243,1405,46.77,51.89
2247,1391,46.74,51.84
2248,1365,46.65,51.85
2250,1349,46.72,51.91
2259,1317,46.73,51.86
2268,1293,46.79,51.92
2273,1287,46.85,52.12
2270,1281,46.86,52.22
2265,1286,46.92,52.16
2263,1299,46.87,52.15
2226,1326,46.93,52.19
2255,1337,46.88,52.23
2251,1348,46.89,52.27
2248,1351,46.89,52.31
2248,1350,46.85,52.34
2251,1353,46.91,52.37
2246,1356,47.01,52.25
2249,1343,47.06,52.19
2245,1348,47.11,52.13
2249,1347,47.00,52.23
2252,1341,46.95,52.16
2268,1345,46.95,52.21
2250,1343,47.01,52.10
2250,1346,46.91,52.14
2250,1346,46.86,52.18
2253,1346,46.82,52.27
2257,1348,46.88,52.41
2251,1345,46.88,52.39
2254,1337,46.84,52.42
2252,1334,46.75,52.45
2254,1345,46.86,52.53
2255,1341,46.82,52.50
2273,1348,46.93,52.38
2256,1353,46.88,52.36
2256,1349,46.89,52.34
2258,1352,46.79,52.42
2259,1334,46.65,52.55
